CustomerID,Age,Gender,Location,ProductID,ProductCategory,Price,Quantity,OrderDate,PaymentMethod,ReviewScore,TotalAmount,AgeGroup,OrderMonth,OrderYear,OrderDay,OrderWeekday
CUST4611,58,Female,North Aaron,PROD246,Clothing,175.3,9,2023-04-29,Digital,4,1577.7,56-65,4,2023,29,Saturday
CUST4108,25,Male,East Jennifer,PROD969,Electronics,285.0,8,2024-09-15,Credit_Card,2,2280.0,18-25,9,2024,15,Sunday
CUST1917,19,Male,Jonathanton,PROD722,Home & Garden,164.19,3,2024-08-25,PayPal,3,492.57,18-25,8,2024,25,Sunday
CUST6304,65,Female,New Derekmouth,PROD794,Sports,138.87,6,2023-05-05,Digital,2,833.22,56-65,5,2023,5,Friday
CUST5206,35,Female,Thomashaven,PROD900,Sports,17.9,7,2023-05-15,Debit_Card,1,125.3,26-35,5,2023,15,Monday
CUST8612,33,Female,Garymouth,PROD548,Sports,300.57,4,2024-11-14,Digital,3,1202.28,26-35,11,2024,14,Thursday
CUST8960,32,Male,West Joseph,PROD135,Books,19.51,10,2023-05-14,PayPal,2,195.1,26-35,5,2023,14,Sunday
CUST2359,26,Female,Lake Sierrafort,PROD229,Home & Garden,406.29,5,2025-01-17,PayPal,1,2031.45,26-35,1,2025,17,Friday
CUST8159,65,Female,New Jonton,PROD168,Clothing,144.06,3,2023-11-09,Debit_Card,2,432.18,56-65,11,2023,9,Thursday
CUST5467,24,Female,Mitchellside,PROD341,Clothing,405.28,8,2024-06-26,Credit_Card,4,3242.24,18-25,6,2024,26,Wednesday
CUST5387,61,Female,Alexshire,PROD897,Home & Garden,238.48,9,2023-09-24,Digital,2,2146.32,56-65,9,2023,24,Sunday
CUST8655,65,Female,Melissaview,PROD760,Clothing,181.93,9,2023-05-07,Credit_Card,4,1637.37,56-65,5,2023,7,Sunday
CUST6731,75,Female,Audreyville,PROD475,Books,294.07,2,2024-06-30,Digital,2,588.14,66+,6,2024,30,Sunday
CUST4139,52,Female,Hallstad,PROD470,Sports,120.22,7,2025-03-21,Debit_Card,1,841.54,46-55,3,2025,21,Friday
CUST8763,23,Male,North Kylemouth,PROD492,Clothing,84.01,6,2023-11-02,Credit_Card,4,504.06,18-25,11,2023,2,Thursday
CUST9786,55,Female,Grimesport,PROD680,Books,127.69,9,2024-03-03,Digital,5,1149.21,46-55,3,2024,3,Sunday
CUST7184,45,Male,Porterborough,PROD133,Sports,124.37,1,2024-02-17,Digital,4,124.37,36-45,2,2024,17,Saturday
CUST2352,20,Male,Vickiefurt,PROD719,Home & Garden,269.18,4,2023-03-04,PayPal,1,1076.72,18-25,3,2023,4,Saturday
CUST6222,19,Female,Cantrellshire,PROD257,Home & Garden,396.66,10,2023-05-11,PayPal,4,3966.6,18-25,5,2023,11,Thursday
CUST3842,23,Male,Port Jessica,PROD795,Books,369.84,3,2024-03-21,Digital,2,1109.52,18-25,3,2024,21,Thursday
CUST7666,31,Male,Hallfort,PROD560,Books,383.2,9,2025-04-07,PayPal,2,3448.8,26-35,4,2025,7,Monday
CUST9172,32,Male,New Christiantown,PROD479,Books,474.16,3,2023-06-09,Digital,5,1422.48,26-35,6,2023,9,Friday
CUST2629,50,Male,South Sydney,PROD480,Clothing,289.97,8,2023-06-30,Digital,4,2319.76,46-55,6,2023,30,Friday
CUST6563,56,Male,New Shawnchester,PROD554,Home & Garden,491.42,3,2024-01-24,PayPal,2,1474.26,56-65,1,2024,24,Wednesday
CUST4596,19,Male,South Caitlyn,PROD881,Clothing,197.27,3,2024-10-18,PayPal,4,591.81,18-25,10,2024,18,Friday
CUST2775,53,Male,Rochaton,PROD178,Clothing,467.93,10,2023-03-18,PayPal,3,4679.3,46-55,3,2023,18,Saturday
CUST2972,30,Male,East Josephhaven,PROD687,Sports,495.81,10,2024-02-05,Credit_Card,2,4958.1,26-35,2,2024,5,Monday
CUST3867,63,Male,East Chelsea,PROD240,Books,90.99,3,2024-07-11,Debit_Card,4,272.97,56-65,7,2024,11,Thursday
CUST1457,59,Male,New Amandatown,PROD642,Clothing,122.09,8,2025-03-23,Digital,2,976.72,56-65,3,2025,23,Sunday
CUST4034,62,Female,New Donton,PROD475,Sports,162.41,6,2023-02-17,Debit_Card,3,974.46,56-65,2,2023,17,Friday
CUST5101,52,Male,North Erica,PROD507,Electronics,370.36,1,2023-04-19,Credit_Card,3,370.36,46-55,4,2023,19,Wednesday
CUST1554,44,Male,South Jason,PROD421,Sports,182.6,4,2024-09-01,Credit_Card,2,730.4,36-45,9,2024,1,Sunday
CUST3800,32,Female,Spencerville,PROD765,Electronics,297.82,8,2023-01-17,Digital,3,2382.56,26-35,1,2023,17,Tuesday
CUST1175,46,Female,South Amanda,PROD385,Electronics,353.21,4,2024-08-23,Digital,2,1412.84,46-55,8,2024,23,Friday
CUST2074,55,Female,East Michael,PROD355,Electronics,179.08,2,2024-08-18,Debit_Card,1,358.16,46-55,8,2024,18,Sunday
CUST1030,35,Male,Parkermouth,PROD216,Electronics,285.99,5,2025-01-27,Debit_Card,5,1429.95,26-35,1,2025,27,Monday
CUST2881,69,Male,North Malloryville,PROD126,Books,75.34,6,2025-03-22,PayPal,1,452.04,66+,3,2025,22,Saturday
CUST3271,73,Male,Brownhaven,PROD853,Clothing,474.44,4,2025-03-16,Debit_Card,3,1897.76,66+,3,2025,16,Sunday
CUST3261,18,Female,Anthonyport,PROD290,Clothing,419.16,1,2024-01-15,Debit_Card,2,419.16,18-25,1,2024,15,Monday
CUST4305,66,Male,Brooksside,PROD611,Electronics,406.15,4,2024-03-08,Credit_Card,1,1624.6,66+,3,2024,8,Friday
CUST2486,69,Male,Tateton,PROD630,Clothing,485.34,9,2023-12-07,Debit_Card,4,4368.06,66+,12,2023,7,Thursday
CUST7741,28,Female,New Reginaton,PROD496,Electronics,273.35,6,2024-11-17,PayPal,4,1640.1,26-35,11,2024,17,Sunday
CUST9921,62,Female,West Tanyaview,PROD675,Clothing,91.9,7,2024-02-05,Debit_Card,4,643.3,56-65,2,2024,5,Monday
CUST8664,45,Female,Nicholasmouth,PROD220,Sports,23.79,8,2023-11-25,Digital,2,190.32,36-45,11,2023,25,Saturday
CUST3864,39,Male,New Sabrinafort,PROD368,Books,32.8,8,2024-06-05,PayPal,3,262.4,36-45,6,2024,5,Wednesday
CUST8454,35,Male,West Lindsay,PROD893,Home & Garden,302.82,1,2023-05-06,Digital,2,302.82,26-35,5,2023,6,Saturday
CUST9969,27,Male,Port Michael,PROD366,Electronics,14.86,1,2024-01-29,Credit_Card,3,14.86,26-35,1,2024,29,Monday
CUST7748,31,Male,East Craigchester,PROD820,Sports,241.6,6,2024-01-04,PayPal,5,1449.6,26-35,1,2024,4,Thursday
CUST5540,79,Female,Lake Robin,PROD556,Sports,169.21,2,2024-09-29,PayPal,2,338.42,66+,9,2024,29,Sunday
CUST6474,66,Male,Lake Bryan,PROD319,Books,309.0,9,2024-11-11,Debit_Card,5,2781.0,66+,11,2024,11,Monday
CUST1450,39,Male,Rollinsstad,PROD726,Books,404.19,5,2024-09-16,PayPal,2,2020.95,36-45,9,2024,16,Monday
CUST9548,24,Female,Thomasville,PROD392,Electronics,173.68,5,2024-05-24,Credit_Card,5,868.4,18-25,5,2024,24,Friday
CUST5563,23,Female,West Paula,PROD810,Electronics,92.84,10,2024-12-19,Credit_Card,5,928.4,18-25,12,2024,19,Thursday
CUST9378,42,Female,Parkerberg,PROD602,Sports,402.2,9,2023-06-08,Credit_Card,2,3619.8,36-45,6,2023,8,Thursday
