CustomerID,Age,Gender,Location,ProductID,ProductCategory,Price,Quantity,OrderDate,PaymentMethod,ReviewScore,TotalAmount
CUST4611,58,Female,North Aaron,PROD246,Clothing,175.3,9,2023-04-29,Digital Wallet,4,1577.7
CUST4108,25,Male,East Jennifer,PROD969,Electronics,285.0,8,2024-09-15,Credit Card,2,2280.0
CUST1917,19,Male,Jonathanton,PROD722,Home & Garden,164.19,3,2024-08-25,PayPal,3,492.57
CUST6304,65,Female,New Derekmouth,PROD794,Sports,138.87,6,2023-05-05,Digital Wallet,2,833.22
CUST5206,35,Female,Thomashaven,PROD900,Sports,17.9,7,2023-05-15,Debit Card,1,125.3
CUST8612,33,Female,Garymouth,PROD548,Sports,300.57,4,2024-11-14,Digital Wallet,3,1202.28
CUST8960,32,Male,West Joseph,PROD135,Books,19.51,10,2023-05-14,PayPal,2,195.1
CUST2359,26,Female,Lake Sierrafort,PROD229,Home & Garden,406.29,5,2025-01-17,PayPal,1,2031.45
CUST8159,65,Female,New Jonton,PROD168,Clothing,144.06,3,2023-11-09,Debit Card,2,432.18
CUST5467,24,Female,Mitchellside,PROD341,Clothing,405.28,8,2024-06-26,Credit Card,4,3242.24
CUST5387,61,Female,Alexshire,PROD897,Home & Garden,238.48,9,2023-09-24,Digital Wallet,2,2146.32
CUST8655,65,Female,Melissaview,PROD760,Clothing,181.93,9,2023-05-07,Credit Card,4,1637.37
CUST6731,75,Female,Audreyville,PROD475,Books,294.07,2,2024-06-30,Digital Wallet,2,588.14
CUST4139,52,Female,Hallstad,PROD470,Sports,120.22,7,2025-03-21,Debit Card,1,841.54
CUST8763,23,Male,North Kylemouth,PROD492,Clothing,84.01,6,2023-11-02,Credit Card,4,504.06
CUST9786,55,Female,Grimesport,PROD680,Books,127.69,9,2024-03-03,Digital Wallet,5,1149.21
CUST7184,45,Male,Porterborough,PROD133,Sports,124.37,1,2024-02-17,Digital Wallet,4,124.37
CUST2352,20,Male,Vickiefurt,PROD719,Home & Garden,269.18,4,2023-03-04,PayPal,1,1076.72
CUST6222,19,Female,Cantrellshire,PROD257,Home & Garden,396.66,10,2023-05-11,PayPal,4,3966.6
CUST3842,23,Male,Port Jessica,PROD795,Books,369.84,3,2024-03-21,Digital Wallet,2,1109.52
CUST7666,31,Male,Hallfort,PROD560,Books,383.2,9,2025-04-07,PayPal,2,3448.8
CUST9172,32,Male,New Christiantown,PROD479,Books,474.16,3,2023-06-09,Digital Wallet,5,1422.48
CUST2629,50,Male,South Sydney,PROD480,Clothing,289.97,8,2023-06-30,Digital Wallet,4,2319.76
CUST6563,56,Male,New Shawnchester,PROD554,Home & Garden,491.42,3,2024-01-24,PayPal,2,1474.26
CUST4596,19,Male,South Caitlyn,PROD881,Clothing,197.27,3,2024-10-18,PayPal,4,591.81
CUST2775,53,Male,Rochaton,PROD178,Clothing,467.93,10,2023-03-18,PayPal,3,4679.3
CUST2972,30,Male,East Josephhaven,PROD687,Sports,495.81,10,2024-02-05,Credit Card,2,4958.1
CUST3867,63,Male,East Chelsea,PROD240,Books,90.99,3,2024-07-11,Debit Card,4,272.97
CUST1457,59,Male,New Amandatown,PROD642,Clothing,122.09,8,2025-03-23,Digital Wallet,2,976.72
CUST4034,62,Female,New Donton,PROD475,Sports,162.41,6,2023-02-17,Debit Card,3,974.46
CUST5101,52,Male,North Erica,PROD507,Electronics,370.36,1,2023-04-19,Credit Card,3,370.36
CUST1554,44,Male,South Jason,PROD421,Sports,182.6,4,2024-09-01,Credit Card,2,730.4
CUST3800,32,Female,Spencerville,PROD765,Electronics,297.82,8,2023-01-17,Digital Wallet,3,2382.56
CUST1175,46,Female,South Amanda,PROD385,Electronics,353.21,4,2024-08-23,Digital Wallet,2,1412.84
CUST2074,55,Female,East Michael,PROD355,Electronics,179.08,2,2024-08-18,Debit Card,1,358.16
CUST1030,35,Male,Parkermouth,PROD216,Electronics,285.99,5,2025-01-27,Debit Card,5,1429.95
CUST2881,69,Male,North Malloryville,PROD126,Books,75.34,6,2025-03-22,PayPal,1,452.04
CUST3271,73,Male,Brownhaven,PROD853,Clothing,474.44,4,2025-03-16,Debit Card,3,1897.76
CUST3261,18,Female,Anthonyport,PROD290,Clothing,419.16,1,2024-01-15,Debit Card,2,419.16
CUST4305,66,Male,Brooksside,PROD611,Electronics,406.15,4,2024-03-08,Credit Card,1,1624.6
CUST2486,69,Male,Tateton,PROD630,Clothing,485.34,9,2023-12-07,Debit Card,4,4368.06
CUST7741,28,Female,New Reginaton,PROD496,Electronics,273.35,6,2024-11-17,PayPal,4,1640.1
CUST9921,62,Female,West Tanyaview,PROD675,Clothing,91.9,7,2024-02-05,Debit Card,4,643.3
CUST8664,45,Female,Nicholasmouth,PROD220,Sports,23.79,8,2023-11-25,Digital Wallet,2,190.32
CUST3864,39,Male,New Sabrinafort,PROD368,Books,32.8,8,2024-06-05,PayPal,3,262.4
CUST8454,35,Male,West Lindsay,PROD893,Home & Garden,302.82,1,2023-05-06,Digital Wallet,2,302.82
CUST9969,27,Male,Port Michael,PROD366,Electronics,14.86,1,2024-01-29,Credit Card,3,14.86
CUST7748,31,Male,East Craigchester,PROD820,Sports,241.6,6,2024-01-04,PayPal,5,1449.6
CUST5540,79,Female,Lake Robin,PROD556,Sports,169.21,2,2024-09-29,PayPal,2,338.42
CUST6474,66,Male,Lake Bryan,PROD319,Books,309.0,9,2024-11-11,Debit Card,5,2781.0
CUST1450,39,Male,Rollinsstad,PROD726,Books,404.19,5,2024-09-16,PayPal,2,2020.95
CUST9548,24,Female,Thomasville,PROD392,Electronics,173.68,5,2024-05-24,Credit Card,5,868.4
CUST5563,23,Female,West Paula,PROD810,Electronics,92.84,10,2024-12-19,Credit Card,5,928.4
CUST9378,42,Female,Parkerberg,PROD602,Sports,402.2,9,2023-06-08,Credit Card,2,3619.8
CUST4292,24,Male,Port Rachel,PROD304,Sports,434.77,10,2024-01-29,PayPal,1,4347.7
CUST6138,40,Female,Janemouth,PROD225,Books,34.48,3,2024-04-12,PayPal,4,103.44
CUST2753,72,Male,Lauramouth,PROD238,Electronics,78.12,7,2024-10-23,Debit Card,5,546.84
CUST6509,40,Female,Jasonshire,PROD973,Electronics,353.82,7,2024-11-27,Credit Card,4,2476.74
CUST3318,56,Female,Cunninghamborough,PROD175,Sports,75.12,6,2023-03-17,Debit Card,2,450.72
CUST1978,34,Male,Arellanobury,PROD562,Home & Garden,59.91,10,2024-07-05,Credit Card,5,599.1
CUST5737,69,Female,North Michael,PROD276,Sports,265.52,2,2024-09-13,Debit Card,4,531.04
CUST5535,20,Female,West Alexander,PROD830,Home & Garden,185.62,9,2023-10-15,Digital Wallet,4,1670.58
CUST5793,64,Female,East Lynntown,PROD555,Electronics,40.9,5,2023-06-21,Digital Wallet,3,204.5
CUST9947,47,Male,Port Donna,PROD189,Sports,353.75,7,2023-06-02,Credit Card,1,2476.25
CUST9269,52,Female,North Michael,PROD929,Books,332.76,4,2023-06-12,Debit Card,4,1331.04
CUST8657,25,Male,Cindymouth,PROD798,Clothing,295.08,9,2024-07-06,PayPal,2,2655.72
CUST5623,80,Female,South Daniel,PROD965,Electronics,171.6,7,2023-05-01,PayPal,2,1201.2
CUST4522,77,Female,Nicolefort,PROD427,Electronics,164.69,6,2023-02-24,PayPal,3,988.14
CUST7998,42,Female,Nancyhaven,PROD783,Sports,488.05,6,2023-12-25,Debit Card,4,2928.3
CUST5594,23,Female,Colleenville,PROD455,Clothing,367.51,8,2024-01-28,Digital Wallet,5,2940.08
CUST2600,53,Female,Port Donald,PROD826,Clothing,221.25,8,2024-11-21,PayPal,2,1770.0
CUST8794,36,Female,South Jenny,PROD166,Clothing,321.44,10,2024-05-31,Credit Card,5,3214.4
CUST5299,71,Male,Port Meganchester,PROD663,Sports,246.16,1,2024-08-16,Digital Wallet,2,246.16
CUST6601,58,Male,Laurenchester,PROD655,Sports,162.06,9,2023-03-19,Credit Card,5,1458.54
